,datetime,url,title
100,2023-10-20 00:00:00.000000,https://www.today.com/video/trucks-carrying-humanitarian-aid-enter-gaza-at-rafah-crossing-196120645648,Trucks carrying humanitarian aid enter Gaza at Rafah crossing
101,2023-10-20 00:00:00.000000,https://www.msnbc.com/jonathan-capehart/watch/first-aid-trucks-enter-into-gaza-196123717770,First aid trucks enter into Gaza
102,2023-10-19 00:00:00.000000,https://www.msnbc.com/11th-hour/watch/icrc-s-martin-schuepp-discusses-humanitarian-crisis-in-gaza-196108357716,ICRC's Martin Schuepp discusses humanitarian crisis in Gaza
103,2023-10-19 00:00:00.000000,https://www.today.com/video/israel-appears-on-the-verge-of-a-ground-invasion-into-gaza-196043333677,Israel appears on the verge of a ground invasion into Gaza
104,2023-10-19 00:00:00.000000,https://www.msnbc.com/ana-cabrera-reports/watch/israeli-defense-forces-majority-of-hostages-in-gaza-are-alive-196060229660,Israeli Defense Forces: Majority of hostages in Gaza are alive
105,2023-10-19 00:00:00.000000,https://www.today.com/parents/mothers-protect-children-israel-gaza-rcna121379,Two Mothers Share How They're Protecting Their Kids Amid Israel ...
106,2023-10-19 00:00:00.000000,https://www.msnbc.com/alex-wagner-tonight/watch/release-of-two-american-hostages-by-hamas-offers-rare-glimpse-of-hope-in-painful-war-196109381829,Release of two American hostages by Hamas offers rare glimpse of ...
107,2023-10-19 00:00:00.000000,https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-updates-aid-trucks-wait-cross-gaza-another-night-rcna121348,Israel-Hamas war live updates: 2 hostages released by Hamas are ...
108,2023-10-19 00:00:00.000000,https://www.msnbc.com/all-in/watch/gaza-conditions-worsen-amid-food-water-fuel-shortages-196103237757,"Gaza conditions worsen amid food, water, fuel shortages"
109,2023-10-19 00:00:00.000000,https://www.msnbc.com/the-reidout/watch/jewish-americans-demanding-a-ceasefire-in-israel-hamas-war-protested-at-white-house-capitol-this-week-196106309602,Jewish Americans demanding a ceasefire in Israel-Hamas war ...
